trial_id,source_trial_id,dataset_number,dataset_slug,dataset_label,condition_id,condition_name,cohesion,transitivity,target_image,target_role
isolated_d026_set1_it_coh,d026_set1_it_coh,26,026_sleep_drag_log,sleep_drag_log,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/026_sleep_drag_log/it_target.png,it_target
isolated_d023_set1_it_coh,d023_set1_it_coh,23,023_stand_tear_paper,stand_tear_paper,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/023_stand_tear_paper/it_target.png,it_target
isolated_d001_set1_tr_coh,d001_set1_tr_coh,1,001_cough_throw_bones,cough_throw_bones,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/001_cough_throw_bones/tr_target.png,tr_target
isolated_d002_set1_tr_ic,d002_set1_tr_ic,2,002_stand_weave_basket,stand_weave_basket,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/002_stand_weave_basket/tr_target.png,tr_target
isolated_d014_set1_tr_ic,d014_set1_tr_ic,14,014_ascend_weave_raincoat,ascend_weave_raincoat,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/014_ascend_weave_raincoat/tr_target.png,tr_target
isolated_d003_set1_tr_coh,d003_set1_tr_coh,3,003_rest_cook_fish,rest_cook_fish,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/003_rest_cook_fish/tr_target.png,tr_target
isolated_d001_set1_it_ic,d001_set1_it_ic,1,001_cough_throw_bones,cough_throw_bones,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/001_cough_throw_bones/it_target.png,it_target
isolated_d010_set1_tr_ic,d010_set1_tr_ic,10,010_run_cook_pancakes,run_cook_pancakes,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/010_run_cook_pancakes/tr_target.png,tr_target
isolated_d013_set1_it_coh,d013_set1_it_coh,13,013_stand_wash_clothes,stand_wash_clothes,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/013_stand_wash_clothes/it_target.png,it_target
isolated_d015_set1_it_ic,d015_set1_it_ic,15,015_smile_clean_wall,smile_clean_wall,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/015_smile_clean_wall/it_target.png,it_target
isolated_d028_set1_tr_coh,d028_set1_tr_coh,28,028_jump_peel_orange,jump_peel_orange,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/028_jump_peel_orange/tr_target.png,tr_target
isolated_d008_set1_it_coh,d008_set1_it_coh,8,008_smile_weave_garland,smile_weave_garland,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/008_smile_weave_garland/it_target.png,it_target
isolated_d004_set1_tr_ic,d004_set1_tr_ic,4,004_run_drink_tea,run_drink_tea,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/004_run_drink_tea/tr_target.png,tr_target
isolated_d002_set1_tr_coh,d002_set1_tr_coh,2,002_stand_weave_basket,stand_weave_basket,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/002_stand_weave_basket/tr_target.png,tr_target
isolated_d026_set1_tr_coh,d026_set1_tr_coh,26,026_sleep_drag_log,sleep_drag_log,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/026_sleep_drag_log/tr_target.png,tr_target
isolated_d002_set1_it_ic,d002_set1_it_ic,2,002_stand_weave_basket,stand_weave_basket,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/002_stand_weave_basket/it_target.png,it_target
isolated_d017_set1_tr_ic,d017_set1_tr_ic,17,017_rest_hang_picture,rest_hang_picture,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/017_rest_hang_picture/tr_target.png,tr_target
isolated_d004_set1_it_ic,d004_set1_it_ic,4,004_run_drink_tea,run_drink_tea,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/004_run_drink_tea/it_target.png,it_target
isolated_d028_set1_tr_ic,d028_set1_tr_ic,28,028_jump_peel_orange,jump_peel_orange,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/028_jump_peel_orange/tr_target.png,tr_target
isolated_d024_set1_tr_ic,d024_set1_tr_ic,24,024_descend_paint_bench,descend_paint_bench,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/024_descend_paint_bench/tr_target.png,tr_target
isolated_d017_set1_it_ic,d017_set1_it_ic,17,017_rest_hang_picture,rest_hang_picture,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/017_rest_hang_picture/it_target.png,it_target
isolated_d030_set1_tr_coh,d030_set1_tr_coh,30,030_smile_make_momos,smile_make_momos,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/030_smile_make_momos/tr_target.png,tr_target
isolated_d012_set1_it_coh,d012_set1_it_coh,12,012_come_eat_rice,come_eat_rice,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/012_come_eat_rice/it_target.png,it_target
isolated_d007_set1_it_coh,d007_set1_it_coh,7,007_sit_make_fire,sit_make_fire,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/007_sit_make_fire/it_target.png,it_target
isolated_d020_set1_it_coh,d020_set1_it_coh,20,020_come_plant_sapling,come_plant_sapling,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/020_come_plant_sapling/it_target.png,it_target
isolated_d016_set1_it_ic,d016_set1_it_ic,16,016_sleep_wash_dish,sleep_wash_dish,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/016_sleep_wash_dish/it_target.png,it_target
isolated_d018_set1_it_coh,d018_set1_it_coh,18,018_yawn_put_on_cap,yawn_put_on_cap,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/018_yawn_put_on_cap/it_target.png,it_target
isolated_d029_set1_it_coh,d029_set1_it_coh,29,029_sit_cut_potato,sit_cut_potato,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/029_sit_cut_potato/it_target.png,it_target
isolated_d022_set1_it_coh,d022_set1_it_coh,22,022_come_push_chest,come_push_chest,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/022_come_push_chest/it_target.png,it_target
isolated_d015_set1_tr_coh,d015_set1_tr_coh,15,015_smile_clean_wall,smile_clean_wall,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/015_smile_clean_wall/tr_target.png,tr_target
isolated_d019_set1_it_coh,d019_set1_it_coh,19,019_sit_crack_egg,sit_crack_egg,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/019_sit_crack_egg/it_target.png,it_target
isolated_d008_set1_tr_coh,d008_set1_tr_coh,8,008_smile_weave_garland,smile_weave_garland,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/008_smile_weave_garland/tr_target.png,tr_target
isolated_d005_set1_it_ic,d005_set1_it_ic,5,005_rest_build_wall,rest_build_wall,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/005_rest_build_wall/it_target.png,it_target
isolated_d014_set1_it_coh,d014_set1_it_coh,14,014_ascend_weave_raincoat,ascend_weave_raincoat,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/014_ascend_weave_raincoat/it_target.png,it_target
isolated_d013_set1_tr_ic,d013_set1_tr_ic,13,013_stand_wash_clothes,stand_wash_clothes,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/013_stand_wash_clothes/tr_target.png,tr_target
isolated_d005_set1_tr_ic,d005_set1_tr_ic,5,005_rest_build_wall,rest_build_wall,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/005_rest_build_wall/tr_target.png,tr_target
isolated_d006_set1_tr_coh,d006_set1_tr_coh,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/006_sleep_pluck_tomatoes/tr_target.png,tr_target
isolated_d001_set1_it_coh,d001_set1_it_coh,1,001_cough_throw_bones,cough_throw_bones,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/001_cough_throw_bones/it_target.png,it_target
isolated_d019_set1_it_ic,d019_set1_it_ic,19,019_sit_crack_egg,sit_crack_egg,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/019_sit_crack_egg/it_target.png,it_target
isolated_d028_set1_it_coh,d028_set1_it_coh,28,028_jump_peel_orange,jump_peel_orange,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/028_jump_peel_orange/it_target.png,it_target
isolated_d029_set1_it_ic,d029_set1_it_ic,29,029_sit_cut_potato,sit_cut_potato,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/029_sit_cut_potato/it_target.png,it_target
isolated_d006_set1_tr_ic,d006_set1_tr_ic,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/006_sleep_pluck_tomatoes/tr_target.png,tr_target
isolated_d009_set1_tr_coh,d009_set1_tr_coh,9,009_descend_harvest_rice,descend_harvest_rice,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/009_descend_harvest_rice/tr_target.png,tr_target
isolated_d020_set1_tr_coh,d020_set1_tr_coh,20,020_come_plant_sapling,come_plant_sapling,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/020_come_plant_sapling/tr_target.png,tr_target
isolated_d012_set1_tr_ic,d012_set1_tr_ic,12,012_come_eat_rice,come_eat_rice,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/012_come_eat_rice/tr_target.png,tr_target
isolated_d030_set1_it_coh,d030_set1_it_coh,30,030_smile_make_momos,smile_make_momos,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/030_smile_make_momos/it_target.png,it_target
isolated_d011_set1_tr_ic,d011_set1_tr_ic,11,011_ascend_wipe_plate,ascend_wipe_plate,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/011_ascend_wipe_plate/tr_target.png,tr_target
isolated_d017_set1_it_coh,d017_set1_it_coh,17,017_rest_hang_picture,rest_hang_picture,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/017_rest_hang_picture/it_target.png,it_target
isolated_d020_set1_tr_ic,d020_set1_tr_ic,20,020_come_plant_sapling,come_plant_sapling,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/020_come_plant_sapling/tr_target.png,tr_target
isolated_d015_set1_tr_ic,d015_set1_tr_ic,15,015_smile_clean_wall,smile_clean_wall,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/015_smile_clean_wall/tr_target.png,tr_target
isolated_d011_set1_tr_coh,d011_set1_tr_coh,11,011_ascend_wipe_plate,ascend_wipe_plate,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/011_ascend_wipe_plate/tr_target.png,tr_target
isolated_d025_set1_it_ic,d025_set1_it_ic,25,025_yawn_lock_door,yawn_lock_door,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/025_yawn_lock_door/it_target.png,it_target
isolated_d016_set1_tr_coh,d016_set1_tr_coh,16,016_sleep_wash_dish,sleep_wash_dish,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/016_sleep_wash_dish/tr_target.png,tr_target
isolated_d014_set1_it_ic,d014_set1_it_ic,14,014_ascend_weave_raincoat,ascend_weave_raincoat,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/014_ascend_weave_raincoat/it_target.png,it_target
isolated_d007_set1_tr_ic,d007_set1_tr_ic,7,007_sit_make_fire,sit_make_fire,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/007_sit_make_fire/tr_target.png,tr_target
isolated_d010_set1_tr_coh,d010_set1_tr_coh,10,010_run_cook_pancakes,run_cook_pancakes,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/010_run_cook_pancakes/tr_target.png,tr_target
isolated_d017_set1_tr_coh,d017_set1_tr_coh,17,017_rest_hang_picture,rest_hang_picture,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/017_rest_hang_picture/tr_target.png,tr_target
isolated_d012_set1_it_ic,d012_set1_it_ic,12,012_come_eat_rice,come_eat_rice,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/012_come_eat_rice/it_target.png,it_target
isolated_d011_set1_it_ic,d011_set1_it_ic,11,011_ascend_wipe_plate,ascend_wipe_plate,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/011_ascend_wipe_plate/it_target.png,it_target
isolated_d018_set1_it_ic,d018_set1_it_ic,18,018_yawn_put_on_cap,yawn_put_on_cap,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/018_yawn_put_on_cap/it_target.png,it_target
isolated_d023_set1_it_ic,d023_set1_it_ic,23,023_stand_tear_paper,stand_tear_paper,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/023_stand_tear_paper/it_target.png,it_target
isolated_d022_set1_tr_coh,d022_set1_tr_coh,22,022_come_push_chest,come_push_chest,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/022_come_push_chest/tr_target.png,tr_target
isolated_d010_set1_it_ic,d010_set1_it_ic,10,010_run_cook_pancakes,run_cook_pancakes,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/010_run_cook_pancakes/it_target.png,it_target
isolated_d029_set1_tr_ic,d029_set1_tr_ic,29,029_sit_cut_potato,sit_cut_potato,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/029_sit_cut_potato/tr_target.png,tr_target
isolated_d003_set1_it_coh,d003_set1_it_coh,3,003_rest_cook_fish,rest_cook_fish,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/003_rest_cook_fish/it_target.png,it_target
isolated_d013_set1_tr_coh,d013_set1_tr_coh,13,013_stand_wash_clothes,stand_wash_clothes,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/013_stand_wash_clothes/tr_target.png,tr_target
isolated_d025_set1_it_coh,d025_set1_it_coh,25,025_yawn_lock_door,yawn_lock_door,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/025_yawn_lock_door/it_target.png,it_target
isolated_d006_set1_it_coh,d006_set1_it_coh,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/006_sleep_pluck_tomatoes/it_target.png,it_target
isolated_d027_set1_it_ic,d027_set1_it_ic,27,027_jump_pull_blanket,jump_pull_blanket,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/027_jump_pull_blanket/it_target.png,it_target
isolated_d008_set1_it_ic,d008_set1_it_ic,8,008_smile_weave_garland,smile_weave_garland,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/008_smile_weave_garland/it_target.png,it_target
isolated_d019_set1_tr_coh,d019_set1_tr_coh,19,019_sit_crack_egg,sit_crack_egg,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/019_sit_crack_egg/tr_target.png,tr_target
isolated_d015_set1_it_coh,d015_set1_it_coh,15,015_smile_clean_wall,smile_clean_wall,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/015_smile_clean_wall/it_target.png,it_target
isolated_d004_set1_tr_coh,d004_set1_tr_coh,4,004_run_drink_tea,run_drink_tea,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/004_run_drink_tea/tr_target.png,tr_target
isolated_d005_set1_tr_coh,d005_set1_tr_coh,5,005_rest_build_wall,rest_build_wall,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/005_rest_build_wall/tr_target.png,tr_target
isolated_d027_set1_tr_ic,d027_set1_tr_ic,27,027_jump_pull_blanket,jump_pull_blanket,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/027_jump_pull_blanket/tr_target.png,tr_target
isolated_d026_set1_it_ic,d026_set1_it_ic,26,026_sleep_drag_log,sleep_drag_log,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/026_sleep_drag_log/it_target.png,it_target
isolated_d019_set1_tr_ic,d019_set1_tr_ic,19,019_sit_crack_egg,sit_crack_egg,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/019_sit_crack_egg/tr_target.png,tr_target
isolated_d020_set1_it_ic,d020_set1_it_ic,20,020_come_plant_sapling,come_plant_sapling,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/020_come_plant_sapling/it_target.png,it_target
