trial_id,source_trial_id,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,target_image,target_role
isolated_list1_d009_set4_it_coh_list1,d009_set4_it_coh_list1,1,9,009_descend_harvest_rice,descend_harvest_rice,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,36,../psychopy_gurung_v1/JpegStimuliFullRes/9_descend_harvest rice/4/it_target.jpg,it_target
isolated_list1_d010_set1_it_coh_list1,d010_set1_it_coh_list1,1,10,010_run_cook_pancakes,run_cook_pancakes,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,37,../psychopy_gurung_v1/JpegStimuliFullRes/10_run_cook pancakes/1/it_target.jpg,it_target
isolated_list1_d010_set2_tr_coh_list1,d010_set2_tr_coh_list1,1,10,010_run_cook_pancakes,run_cook_pancakes,2,tr_coh,transitive_cohesive,cohesive,transitive,1,38,../psychopy_gurung_v1/JpegStimuliFullRes/10_run_cook pancakes/2/tr_target.jpg,tr_target
isolated_list1_d010_set3_tr_coh_list1,d010_set3_tr_coh_list1,1,10,010_run_cook_pancakes,run_cook_pancakes,3,tr_coh,transitive_cohesive,cohesive,transitive,1,39,../psychopy_gurung_v1/JpegStimuliFullRes/10_run_cook pancakes/3/tr_target.jpg,tr_target
isolated_list1_d010_set4_it_coh_list1,d010_set4_it_coh_list1,1,10,010_run_cook_pancakes,run_cook_pancakes,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,40,../psychopy_gurung_v1/JpegStimuliFullRes/10_run_cook pancakes/4/it_target.jpg,it_target
isolated_list1_d011_set1_it_coh_list1,d011_set1_it_coh_list1,1,11,011_ascend_wipe_plate,ascend_wipe_plate,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,41,../psychopy_gurung_v1/JpegStimuliFullRes/11_ascend_wipe plate/1/it_target.jpg,it_target
isolated_list1_d011_set2_tr_coh_list1,d011_set2_tr_coh_list1,1,11,011_ascend_wipe_plate,ascend_wipe_plate,2,tr_coh,transitive_cohesive,cohesive,transitive,1,42,../psychopy_gurung_v1/JpegStimuliFullRes/11_ascend_wipe plate/2/tr_target.jpg,tr_target
isolated_list1_d011_set3_tr_coh_list1,d011_set3_tr_coh_list1,1,11,011_ascend_wipe_plate,ascend_wipe_plate,3,tr_coh,transitive_cohesive,cohesive,transitive,1,43,../psychopy_gurung_v1/JpegStimuliFullRes/11_ascend_wipe plate/3/tr_target.jpg,tr_target
isolated_list1_d011_set4_it_coh_list1,d011_set4_it_coh_list1,1,11,011_ascend_wipe_plate,ascend_wipe_plate,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,44,../psychopy_gurung_v1/JpegStimuliFullRes/11_ascend_wipe plate/4/it_target.jpg,it_target
isolated_list1_d012_set1_it_coh_list1,d012_set1_it_coh_list1,1,12,012_come_eat_rice,come_eat_rice,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,45,../psychopy_gurung_v1/JpegStimuliFullRes/12_come_eat rice/1/it_target.jpg,it_target
isolated_list1_d012_set2_tr_coh_list1,d012_set2_tr_coh_list1,1,12,012_come_eat_rice,come_eat_rice,2,tr_coh,transitive_cohesive,cohesive,transitive,1,46,../psychopy_gurung_v1/JpegStimuliFullRes/12_come_eat rice/2/tr_target.jpg,tr_target
isolated_list1_d012_set3_tr_coh_list1,d012_set3_tr_coh_list1,1,12,012_come_eat_rice,come_eat_rice,3,tr_coh,transitive_cohesive,cohesive,transitive,1,47,../psychopy_gurung_v1/JpegStimuliFullRes/12_come_eat rice/3/tr_target.jpg,tr_target
isolated_list1_d012_set4_it_coh_list1,d012_set4_it_coh_list1,1,12,012_come_eat_rice,come_eat_rice,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,48,../psychopy_gurung_v1/JpegStimuliFullRes/12_come_eat rice/4/it_target.jpg,it_target
isolated_list1_d013_set1_it_coh_list1,d013_set1_it_coh_list1,1,13,013_stand_wash_clothes,stand_wash_clothes,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,49,../psychopy_gurung_v1/JpegStimuliFullRes/13_stand_wash clothes/1/it_target.jpg,it_target
isolated_list1_d013_set2_tr_coh_list1,d013_set2_tr_coh_list1,1,13,013_stand_wash_clothes,stand_wash_clothes,2,tr_coh,transitive_cohesive,cohesive,transitive,1,50,../psychopy_gurung_v1/JpegStimuliFullRes/13_stand_wash clothes/2/tr_target.jpg,tr_target
isolated_list1_d013_set3_tr_coh_list1,d013_set3_tr_coh_list1,1,13,013_stand_wash_clothes,stand_wash_clothes,3,tr_coh,transitive_cohesive,cohesive,transitive,1,51,../psychopy_gurung_v1/JpegStimuliFullRes/13_stand_wash clothes/3/tr_target.jpg,tr_target
isolated_list1_d013_set4_it_coh_list1,d013_set4_it_coh_list1,1,13,013_stand_wash_clothes,stand_wash_clothes,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,52,../psychopy_gurung_v1/JpegStimuliFullRes/13_stand_wash clothes/4/it_target.jpg,it_target
isolated_list1_d014_set1_it_coh_list1,d014_set1_it_coh_list1,1,14,014_ascend_weave_raincoat,ascend_weave_raincoat,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,53,../psychopy_gurung_v1/JpegStimuliFullRes/14_ascend_weave raincoat/1/it_target.jpg,it_target
isolated_list1_d014_set2_tr_coh_list1,d014_set2_tr_coh_list1,1,14,014_ascend_weave_raincoat,ascend_weave_raincoat,2,tr_coh,transitive_cohesive,cohesive,transitive,1,54,../psychopy_gurung_v1/JpegStimuliFullRes/14_ascend_weave raincoat/2/tr_target.jpg,tr_target
isolated_list1_d014_set3_tr_coh_list1,d014_set3_tr_coh_list1,1,14,014_ascend_weave_raincoat,ascend_weave_raincoat,3,tr_coh,transitive_cohesive,cohesive,transitive,1,55,../psychopy_gurung_v1/JpegStimuliFullRes/14_ascend_weave raincoat/3/tr_target.jpg,tr_target
isolated_list1_d014_set4_it_coh_list1,d014_set4_it_coh_list1,1,14,014_ascend_weave_raincoat,ascend_weave_raincoat,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,56,../psychopy_gurung_v1/JpegStimuliFullRes/14_ascend_weave raincoat/4/it_target.jpg,it_target
isolated_list1_d015_set1_it_coh_list1,d015_set1_it_coh_list1,1,15,015_smile_clean_wall,smile_clean_wall,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,57,../psychopy_gurung_v1/JpegStimuliFullRes/15_smile_clean wall/1/it_target.jpg,it_target
isolated_list1_d015_set2_tr_coh_list1,d015_set2_tr_coh_list1,1,15,015_smile_clean_wall,smile_clean_wall,2,tr_coh,transitive_cohesive,cohesive,transitive,1,58,../psychopy_gurung_v1/JpegStimuliFullRes/15_smile_clean wall/2/tr_target.jpg,tr_target
isolated_list1_d015_set3_tr_coh_list1,d015_set3_tr_coh_list1,1,15,015_smile_clean_wall,smile_clean_wall,3,tr_coh,transitive_cohesive,cohesive,transitive,1,59,../psychopy_gurung_v1/JpegStimuliFullRes/15_smile_clean wall/3/tr_target.jpg,tr_target
isolated_list1_d015_set4_it_coh_list1,d015_set4_it_coh_list1,1,15,015_smile_clean_wall,smile_clean_wall,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,60,../psychopy_gurung_v1/JpegStimuliFullRes/15_smile_clean wall/4/it_target.jpg,it_target
isolated_list1_d016_set1_it_coh_list1,d016_set1_it_coh_list1,1,16,016_sleep_wash_dish,sleep_wash_dish,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,61,../psychopy_gurung_v1/JpegStimuliFullRes/16_sleep_wash dish/1/it_target.jpg,it_target
isolated_list1_d016_set2_tr_coh_list1,d016_set2_tr_coh_list1,1,16,016_sleep_wash_dish,sleep_wash_dish,2,tr_coh,transitive_cohesive,cohesive,transitive,1,62,../psychopy_gurung_v1/JpegStimuliFullRes/16_sleep_wash dish/2/tr_target.jpg,tr_target
isolated_list1_d016_set3_tr_coh_list1,d016_set3_tr_coh_list1,1,16,016_sleep_wash_dish,sleep_wash_dish,3,tr_coh,transitive_cohesive,cohesive,transitive,1,63,../psychopy_gurung_v1/JpegStimuliFullRes/16_sleep_wash dish/3/tr_target.jpg,tr_target
isolated_list1_d016_set4_it_coh_list1,d016_set4_it_coh_list1,1,16,016_sleep_wash_dish,sleep_wash_dish,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,64,../psychopy_gurung_v1/JpegStimuliFullRes/16_sleep_wash dish/4/it_target.jpg,it_target
isolated_list1_d017_set1_it_coh_list1,d017_set1_it_coh_list1,1,17,017_rest_hang_picture,rest_hang_picture,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,65,../psychopy_gurung_v1/JpegStimuliFullRes/17_rest_hang picture/1/it_target.jpg,it_target
isolated_list1_d017_set2_tr_coh_list1,d017_set2_tr_coh_list1,1,17,017_rest_hang_picture,rest_hang_picture,2,tr_coh,transitive_cohesive,cohesive,transitive,1,66,../psychopy_gurung_v1/JpegStimuliFullRes/17_rest_hang picture/2/tr_target.jpg,tr_target
isolated_list1_d017_set3_tr_coh_list1,d017_set3_tr_coh_list1,1,17,017_rest_hang_picture,rest_hang_picture,3,tr_coh,transitive_cohesive,cohesive,transitive,1,67,../psychopy_gurung_v1/JpegStimuliFullRes/17_rest_hang picture/3/tr_target.jpg,tr_target
isolated_list1_d017_set4_it_coh_list1,d017_set4_it_coh_list1,1,17,017_rest_hang_picture,rest_hang_picture,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,68,../psychopy_gurung_v1/JpegStimuliFullRes/17_rest_hang picture/4/it_target.jpg,it_target
