original_trial_index,recovery_source,trial_id,random_order,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,n_images,img1,img1_role,img2,img2_role,img3,img3_role,img4,img4_role,between_image,audio_probe,between_audio,between_audio_lock_sec,source_dataset_folder
31,participant_261_csv_screenshots_2026-08-26,d012_set3_it_ic_list1,94,1,12,012_come_eat_rice,come_eat_rice,3,it_ic,intransitive_incohesive,incohesive,intransitive,4,47,3,JpegStimuliFullRes/12_come_eat rice/3/ic_1.jpg,ic_1,JpegStimuliFullRes/12_come_eat rice/3/it_target.jpg,it_target,JpegStimuliFullRes/12_come_eat rice/3/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/12_come_eat rice
32,participant_261_csv_screenshots_2026-08-26,d006_set4_it_coh_list1,47,1,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,24,4,JpegStimuliFullRes/6_sleep_pluck tomatoes/4/coh_1.jpg,coh_1,JpegStimuliFullRes/6_sleep_pluck tomatoes/4/coh_2.jpg,coh_2,JpegStimuliFullRes/6_sleep_pluck tomatoes/4/it_target.jpg,it_target,JpegStimuliFullRes/6_sleep_pluck tomatoes/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/6_sleep_pluck tomatoes
33,participant_261_csv_screenshots_2026-08-26,d023_set1_tr_ic_list1,178,1,23,023_stand_tear_paper,stand_tear_paper,1,tr_ic,transitive_incohesive,incohesive,transitive,2,89,3,JpegStimuliFullRes/23_stand_tear paper/1/ic_1.jpg,ic_1,JpegStimuliFullRes/23_stand_tear paper/1/tr_target.jpg,tr_target,JpegStimuliFullRes/23_stand_tear paper/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/23_stand_tear paper
34,participant_261_csv_screenshots_2026-08-26,d026_set4_tr_ic_list1,208,1,26,026_sleep_drag_log,sleep_drag_log,4,tr_ic,transitive_incohesive,incohesive,transitive,2,104,3,JpegStimuliFullRes/26_sleep_drag log/4/ic_1.jpg,ic_1,JpegStimuliFullRes/26_sleep_drag log/4/tr_target.jpg,tr_target,JpegStimuliFullRes/26_sleep_drag log/4/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/26_sleep_drag log
35,participant_261_csv_screenshots_2026-08-26,d014_set2_it_ic_list1,108,1,14,014_ascend_weave_raincoat,ascend_weave_raincoat,2,it_ic,intransitive_incohesive,incohesive,intransitive,4,54,3,JpegStimuliFullRes/14_ascend_weave raincoat/2/ic_1.jpg,ic_1,JpegStimuliFullRes/14_ascend_weave raincoat/2/it_target.jpg,it_target,JpegStimuliFullRes/14_ascend_weave raincoat/2/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/14_ascend_weave raincoat
36,participant_261_csv_screenshots_2026-08-26,d023_set2_tr_coh_list1,179,1,23,023_stand_tear_paper,stand_tear_paper,2,tr_coh,transitive_cohesive,cohesive,transitive,1,90,3,JpegStimuliFullRes/23_stand_tear paper/2/coh_1.jpg,coh_1,JpegStimuliFullRes/23_stand_tear paper/2/coh_2.jpg,coh_2,JpegStimuliFullRes/23_stand_tear paper/2/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/23_stand_tear paper
37,participant_261_csv_screenshots_2026-08-26,d002_set3_it_ic_list1,14,1,2,002_stand_weave_basket,stand_weave_basket,3,it_ic,intransitive_incohesive,incohesive,intransitive,4,7,3,JpegStimuliFullRes/2_stand_weave basket/3/ic_1.jpg,ic_1,JpegStimuliFullRes/2_stand_weave basket/3/it_target.jpg,it_target,JpegStimuliFullRes/2_stand_weave basket/3/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/2_stand_weave basket
38,participant_261_csv_screenshots_2026-08-26,d001_set4_tr_ic_list1,8,1,1,001_cough_throw_bones,cough_throw_bones,4,tr_ic,transitive_incohesive,incohesive,transitive,2,4,3,JpegStimuliFullRes/1_cough_throw bones/4/ic_1.jpg,ic_1,JpegStimuliFullRes/1_cough_throw bones/4/tr_target.jpg,tr_target,JpegStimuliFullRes/1_cough_throw bones/4/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/1_cough_throw bones
39,participant_261_csv_screenshots_2026-08-26,d018_set1_tr_ic_list1,138,1,18,018_yawn_put_on_cap,yawn_put_on_cap,1,tr_ic,transitive_incohesive,incohesive,transitive,2,69,3,JpegStimuliFullRes/18_yawn_put on cap/1/ic_1.jpg,ic_1,JpegStimuliFullRes/18_yawn_put on cap/1/tr_target.jpg,tr_target,JpegStimuliFullRes/18_yawn_put on cap/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/18_yawn_put on cap
40,participant_261_csv_screenshots_2026-08-26,d022_set1_tr_ic_list1,170,1,22,022_come_push_chest,come_push_chest,1,tr_ic,transitive_incohesive,incohesive,transitive,2,85,3,JpegStimuliFullRes/22_come_push chest/1/ic_1.jpg,ic_1,JpegStimuliFullRes/22_come_push chest/1/tr_target.jpg,tr_target,JpegStimuliFullRes/22_come_push chest/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/22_come_push chest
41,participant_261_csv_screenshots_2026-08-26,d024_set1_tr_ic_list1,186,1,24,024_descend_paint_bench,descend_paint_bench,1,tr_ic,transitive_incohesive,incohesive,transitive,2,93,3,JpegStimuliFullRes/24_descend_paint bench/1/ic_1.jpg,ic_1,JpegStimuliFullRes/24_descend_paint bench/1/tr_target.jpg,tr_target,JpegStimuliFullRes/24_descend_paint bench/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/24_descend_paint bench
42,participant_261_csv_screenshots_2026-08-26,d010_set4_tr_ic_list1,80,1,10,010_run_cook_pancakes,run_cook_pancakes,4,tr_ic,transitive_incohesive,incohesive,transitive,2,40,3,JpegStimuliFullRes/10_run_cook pancakes/4/ic_1.jpg,ic_1,JpegStimuliFullRes/10_run_cook pancakes/4/tr_target.jpg,tr_target,JpegStimuliFullRes/10_run_cook pancakes/4/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/10_run_cook pancakes
43,participant_261_csv_screenshots_2026-08-26,d014_set4_it_coh_list1,111,1,14,014_ascend_weave_raincoat,ascend_weave_raincoat,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,56,4,JpegStimuliFullRes/14_ascend_weave raincoat/4/coh_1.jpg,coh_1,JpegStimuliFullRes/14_ascend_weave raincoat/4/coh_2.jpg,coh_2,JpegStimuliFullRes/14_ascend_weave raincoat/4/it_target.jpg,it_target,JpegStimuliFullRes/14_ascend_weave raincoat/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/14_ascend_weave raincoat
44,participant_261_csv_screenshots_2026-08-26,d019_set1_it_coh_list1,145,1,19,019_sit_crack_egg,sit_crack_egg,1,it_coh,intransitive_cohesive,cohesive,intransitive,3,73,4,JpegStimuliFullRes/19_sit_crack egg/1/coh_1.jpg,coh_1,JpegStimuliFullRes/19_sit_crack egg/1/coh_2.jpg,coh_2,JpegStimuliFullRes/19_sit_crack egg/1/it_target.jpg,it_target,JpegStimuliFullRes/19_sit_crack egg/1/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/19_sit_crack egg
45,participant_261_csv_screenshots_2026-08-26,d017_set3_tr_coh_list1,133,1,17,017_rest_hang_picture,rest_hang_picture,3,tr_coh,transitive_cohesive,cohesive,transitive,1,67,3,JpegStimuliFullRes/17_rest_hang picture/3/coh_1.jpg,coh_1,JpegStimuliFullRes/17_rest_hang picture/3/coh_2.jpg,coh_2,JpegStimuliFullRes/17_rest_hang picture/3/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/17_rest_hang picture
46,participant_261_csv_screenshots_2026-08-26,d015_set4_tr_ic_list1,120,1,15,015_smile_clean_wall,smile_clean_wall,4,tr_ic,transitive_incohesive,incohesive,transitive,2,60,3,JpegStimuliFullRes/15_smile_clean wall/4/ic_1.jpg,ic_1,JpegStimuliFullRes/15_smile_clean wall/4/tr_target.jpg,tr_target,JpegStimuliFullRes/15_smile_clean wall/4/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/15_smile_clean wall
