index,status,source_relative,target_relative,source_bytes,source_width,source_height,source_colorspace,target_bytes,target_width,target_height,target_colorspace,target_sha256
36,converted,2_stand_weave basket/1/end_ic_it.png,2_stand_weave basket/1/end_ic_it.jpg,2676863,1024,1536,sRGB,302206,1024,1536,sRGB,36e8c428c4ab9411dd8734774b4011bf0a89d5f2558a83ea60b431e40f0f7b84
37,skipped_exists,2_stand_weave basket/1/end_ic_tr.png,2_stand_weave basket/1/end_ic_tr.jpg,2666608,1024,1536,sRGB,321319,1024,1536,sRGB,b95c3689ad5b0a08fd7d49e4190b2dd18f3073a681ec17030431d950fff23aa2
38,skipped_exists,2_stand_weave basket/1/ic_1.png,2_stand_weave basket/1/ic_1.jpg,3043375,1024,1536,sRGB,386869,1024,1536,sRGB,94973883e64cbc6842e2ae4970964eb339cc6cfb154c9b1cc526c61248fba492
39,skipped_exists,2_stand_weave basket/1/it_target.png,2_stand_weave basket/1/it_target.jpg,2524443,1024,1536,sRGB,276093,1024,1536,sRGB,96e02d283aa38962f20dc9fa4673207f911d16ffe29b5d9332aec408a12fe1ac
40,skipped_exists,2_stand_weave basket/1/tr_target.png,2_stand_weave basket/1/tr_target.jpg,2685711,1024,1536,sRGB,319803,1024,1536,sRGB,146c26ee4868d4573ac9d13158790b940d2dae5daa4d8de277a35c27192c225b
41,skipped_exists,2_stand_weave basket/2/coh_1.png,2_stand_weave basket/2/coh_1.jpg,2459837,1024,1536,sRGB,239956,1024,1536,sRGB,1cb3503fee72741206e879677f92350ffdaefd1de73a19e0aa70240984d0cb43
42,skipped_exists,2_stand_weave basket/2/coh_2.png,2_stand_weave basket/2/coh_2.jpg,2680654,1024,1536,sRGB,311222,1024,1536,sRGB,6468e1bc320bddccc34a4c3715012e4a94a0ed92b8cbf02d30df706e0b8e366c
43,skipped_exists,2_stand_weave basket/2/end_coh_it.png,2_stand_weave basket/2/end_coh_it.jpg,2709504,1024,1536,sRGB,319558,1024,1536,sRGB,3401f0a4b635ca9ba4de1c954326528ac9df79caf78558e172c0779a8e4c7826
44,skipped_exists,2_stand_weave basket/2/end_ic_it.png,2_stand_weave basket/2/end_ic_it.jpg,2817224,1024,1536,sRGB,323122,1024,1536,sRGB,38b3adc15fc360bced1853274ed4bc1dae57b0f79a28850c742651eb9ec3cbf7
45,skipped_exists,2_stand_weave basket/2/end_ic_tr.png,2_stand_weave basket/2/end_ic_tr.jpg,2250321,1024,1536,sRGB,227518,1024,1536,sRGB,7b96698dd5cfb40567ee48b942fff134736da38002066dba29f746346783ba4d
